model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
hs4,lorentz,True,30,30,20,20,200,0.9375,0.9375,0.9448529411764706,0.9375,2.654853582382202,0.09957671165466309
hs4,poincare,True,30,30,20,20,200,0.9685935935935936,0.96875,0.9703947368421052,0.96875,2.8624484539031982,0.11205029487609863
hs4,lorentz,False,30,30,20,20,200,0.9059729064039409,0.90625,0.9074900793650793,0.90625,2.4380900859832764,0.09265923500061035
hs4,poincare,False,30,30,20,20,200,0.8381410256410257,0.84375,0.8792613636363636,0.84375,2.827037811279297,0.10862874984741211
bert,lorentz,True,30,30,20,20,200,0.9375,0.9375,0.9375,0.9375,1.874769926071167,0.08521342277526855
bert,lorentz,False,30,30,20,20,200,0.8056680161943319,0.8125,0.8636363636363636,0.8125,1.8122403621673584,0.08192276954650879
bert,poincare,True,30,30,20,20,200,0.9688423645320197,0.96875,0.9708333333333333,0.96875,2.288365125656128,0.09208273887634277
bert,poincare,False,30,30,20,20,200,0.8426282051282052,0.84375,0.8432291666666667,0.84375,2.3049938678741455,0.09457921981811523
han,lorentz,True,30,30,20,20,200,0.9686576354679803,0.96875,0.970486111111111,0.96875,4.796380043029785,0.17823553085327148
han,lorentz,False,30,30,20,20,200,0.9375,0.9375,0.9375,0.9375,4.741759538650513,0.17636632919311523
han,poincare,True,30,30,20,20,200,0.9375,0.9375,0.9375,0.9375,5.153800964355469,0.1997699737548828
han,poincare,False,30,30,20,20,200,0.9377450980392157,0.9375,0.9453125,0.9375,5.189116716384888,0.20011591911315918
hs4,euclid,True,30,30,20,20,200,0.7201576576576576,0.71875,0.7229662698412699,0.71875,2.78666090965271,0.09128308296203613
hs4,euclid,False,30,30,20,20,200,0.5925586510263929,0.59375,0.6019345238095238,0.59375,2.5916900634765625,0.21317481994628906
hyphen,poincare,True,30,30,20,20,200,0.968525641025641,0.96875,0.9703125,0.96875,75.26819372177124,4.970668792724609
hyphen,poincare,False,30,30,20,20,200,0.9687194525904204,0.96875,0.9705882352941176,0.96875,70.50266242027283,5.93395209312439
bert,euclid,True,30,30,20,20,200,0.6888157894736843,0.71875,0.749599358974359,0.71875,1.9872958660125732,0.17444586753845215
bert,euclid,False,30,30,20,20,200,0.7333333333333334,0.75,0.8333333333333333,0.75,2.0762720108032227,0.07779240608215332
han,euclid,True,30,30,20,20,200,0.696969696969697,0.7,0.7083333333333334,0.7,5.064908266067505,0.20884990692138672
